Year,Movie,Worldwide
1925,The Big Parade,"$22,000,000 "
1937,Snow White and the Seven Dwarfs,"$184,925,486 "
1939,The Wizard of Oz,"$34,949,482 "
1939,Gone with the Wind,"$390,525,192 "
1940,Fantasia,"$83,320,832 "
1940,Pinocchio,"$84,300,000 "
1941,Sergeant York,"$16,400,000 "
1942,Mrs. Miniver,"$13,500,000 "
1942,Bambi,"$268,000,000 "
1943,For Whom the Bell Tolls,"$17,800,000 "
1943,This is the Army,"$19,500,000 "
1944,Going My Way,"$16,300,000 "
1945,Leave Her to Heaven,"$13,800,000 "
1945,Mom and Dad,"$16,000,000 "
1945,The Bells of St. Mary's,"$21,300,000 "
1946,Blue Skies,"$14,300,000 "
1946,It's a Wonderful Life,"$16,420,592 "
1946,The Jolson Story,"$19,000,000 "
1946,Duel in the Sun,"$20,400,000 "
1946,The Best Years of Our Lives,"$23,600,000 "
1946,Notorious,"$24,493,053 "
1946,Song of the South,"$65,000,000 "
1947,Welcome Stranger,"$15,300,000 "
1947,Forever Amber,"$16,000,000 "
1947,Miracle on 34th Street,"$46,295,886 "
1949,Samson and Delilah,"$28,824,741 "
1950,Cinderella,"$263,591,415 "
1951,David and Bathsheba,"$14,000,000 "
1951,Quo Vadis?,"$30,028,983 "
1952,The Snows of Kilimanjaro,"$14,181,330 "
1952,The Greatest Show on Earth,"$36,000,000 "
1953,Shane,"$20,000,000 "
1953,House of Wax,"$23,800,000 "
1953,From Here to Eternity,"$30,500,000 "
1953,The Robe,"$36,010,887 "
1953,Peter Pan,"$87,400,000 "
1954,The Egyptian,"$15,000,000 "
1954,The Caine Mutiny,"$21,800,000 "
1954,Demetrius and the Gladiators,"$26,012,630 "
1954,Rear Window,"$27,592,496 "
1954,"20,000 Leagues Under the Sea","$28,200,000 "
1954,White Christmas,"$30,001,212 "
1955,Mister Roberts,"$21,200,000 "
1955,Lady and the Tramp,"$93,638,184 "
1956,Trapeze,"$14,400,000 "
1956,The King and I,"$21,300,413 "
1956,Giant,"$30,194,409 "
1956,Around the World in 80 Days,"$42,000,000 "
1956,The Ten Commandments,"$85,433,929 "
1957,Peyton Place,"$25,600,000 "
1957,Sayonara,"$26,300,000 "
1957,The Bridge on the River Kwai,"$33,300,000 "
1958,Cat on a Hot Tin Roof,"$17,570,324 "
1958,Auntie Mame,"$23,300,000 "
1958,South Pacific,"$36,817,924 "
1959,North by Northwest,"$13,372,845 "
1959,Imitation of Life,"$14,000,365 "
1959,Pillow Talk,"$18,750,000 "
1959,Operation Petticoat,"$23,300,000 "
1959,Some Like it Hot,"$25,038,874 "
1959,The Shaggy Dog,"$29,000,000 "
1959,Ben-Hur,"$73,259,017 "
1960,Exodus,"$21,750,000 "
1960,The Apartment,"$24,599,998 "
1960,Psycho,"$32,002,177 "
1960,Swiss Family Robinson,"$40,400,000 "
1960,Spartacus,"$60,000,000 "
1961,King of Kings,"$14,483,352 "
1961,Lover Come Back,"$16,937,969 "
1961,La Dolce Vita,"$19,666,568 "
1961,The Absent Minded Professor,"$25,381,407 "
1961,El Cid,"$26,600,000 "
1961,The Guns of Navarone,"$28,918,820 "
1961,The Parent Trap,"$29,650,385 "
1961,West Side Story,"$47,596,274 "
1961,101 Dalmatians,"$153,301,743 "
1962,Hatari!,"$12,923,077 "
1962,To Kill A Mockingbird,"$13,129,846 "
1962,Mutiny on The Bounty,"$13,680,000 "
1962,The Music Man,"$14,953,846 "
1962,That Touch of Mink,"$17,648,927 "
1962,In Search of the Castaways,"$18,415,385 "
1962,The Longest Day,"$50,100,000 "
1962,Lawrence of Arabia,"$69,995,047 "
1963,Bye Bye Birdie,"$13,129,412 "
1963,Charade,"$13,474,929 "
1963,McLintock!,"$14,500,000 "
1963,The V.I.P.s,"$15,000,000 "
1963,Son of Flubber,"$22,129,412 "
1963,The Sword in the Stone,"$22,182,353 "
1963,Irma La Douce,"$25,246,588 "
1963,Tom Jones,"$37,600,000 "
1963,How the West Was Won,"$46,500,000 "
1963,Dr. No,"$59,567,035 "
1963,It's a Mad Mad Mad Mad World,"$60,000,000 "
1963,Cleopatra,"$71,000,000 "
1964,The Carpetbaggers,"$28,409,547 "
1964,My Fair Lady,"$72,072,607 "
1964,From Russia With Love,"$78,900,000 "
1964,Mary Poppins,"$102,296,470 "
1964,Goldfinger,"$124,900,000 "
1965,The Sons of Katie Elder,"$13,333,333 "
1965,The Sandpiper,"$13,691,111 "
1965,The Greatest Story Ever Told,"$15,473,333 "
1965,Our Man Flint,"$16,000,000 "
1965,Von Ryan's Express,"$17,111,111 "
1965,Shenandoah,"$17,268,889 "
1965,What's New Pussycat,"$18,820,000 "
1965,Cat Ballou,"$20,666,667 "
1965,The Great Race,"$25,333,333 "
1965,That Darn Cat!,"$28,062,222 "
1965,Those Magnificent Men In Their Flying,"$31,111,111 "
1965,Doctor Zhivago,"$112,040,388 "
1965,Thunderball,"$141,200,000 "
1965,The Sound of Music,"$286,214,195 "
1966,Torn Curtain,"$13,000,000 "
1966,Un homme et une femme,"$14,044,741 "
1966,The Wild Angels,"$15,541,070 "
1966,The Blue Max,"$16,151,612 "
1966,Follow Me Boys,"$16,207,116 "
1966,The Silencers,"$16,318,124 "
1966,Georgy Girl,"$16,873,162 "
1966,Alfie,"$18,871,300 "
1966,The Professionals,"$19,537,346 "
1966,Grand Prix,"$20,845,016 "
1966,"The Russians Are Coming, the Russians","$21,693,114 "
1966,"Lt. Robin Crusoe, U.S.N.","$22,565,634 "
1966,A Man for All Seasons,"$28,350,000 "
1966,The Sand Pebbles,"$30,017,647 "
1966,Who's Afraid of Virginia Wolf?,"$33,736,689 "
1966,Hawaii,"$34,562,222 "
1966,The Bible,"$34,903,530 "
1967,In Cold Blood,"$13,007,551 "
1967,Cool Hand Luke,"$16,218,161 "
1967,Wait Until Dark,"$17,550,741 "
1967,Barefoot in the Park,"$19,994,515 "
1967,In the Heat of the Night,"$24,407,647 "
1967,Camelot,"$31,102,578 "
1967,Thoroughly Modern Millie,"$34,335,025 "
1967,The Born Losers,"$36,000,000 "
1967,Casino Royale,"$41,744,718 "
1967,To Sir With Love,"$42,432,803 "
1967,Valley of the Dolls,"$44,432,255 "
1967,The Dirty Dozen,"$45,300,000 "
1967,Bonnie and Clyde,"$50,700,128 "
1967,Guess Who's Coming to Dinner,"$56,700,000 "
1967,The Graduate,"$104,466,833 "
1967,You Only Live Twice,"$111,600,000 "
1967,The Jungle Book,"$141,843,000 "
1968,The Thomas Crown Affair,"$14,000,000 "
1968,Candy,"$16,408,286 "
1968,The Boston Strangler,"$17,810,894 "
1968,The Fox,"$19,146,711 "
1968,Blackbeard's Ghost,"$21,540,050 "
1968,The Green Berets,"$21,707,027 "
1968,The Lion in Winter,"$22,295,024 "
1968,"Yours, Mine and Ours","$25,912,624 "
1968,Night of the Living Dead,"$30,087,064 "
1968,Rosemary's Baby,"$33,396,740 "
1968,Planet of the Apes,"$33,398,936 "
1968,Oliver!,"$37,402,877 "
1968,Romeo and Juliet,"$38,907,647 "
1968,Bullitt,"$42,300,945 "
1968,The Odd Couple,"$44,527,234 "
1968,Funny Girl,"$58,707,416 "
1968,2001: A Space Odyssey,"$71,801,274 "
1969,The Sterile Cuckoo,"$13,982,357 "
1969,Z,"$14,283,305 "
1969,Winning,"$14,644,335 "
1969,Jag ar Nyfiken - en film i gult,"$20,200,000 "
1969,"Goodbye, Columbus","$22,939,805 "
1969,The Stewardesses,"$25,000,000 "
1969,Cactus Flower,"$25,889,208 "
1969,Paint Your Wagon,"$31,678,778 "
1969,Bob & Carol & Ted & Alice,"$31,897,253 "
1969,"Hello, Dolly","$33,208,099 "
1969,True Grit,"$37,659,900 "
1969,Easy Rider,"$41,728,598 "
1969,Midnight Cowboy,"$44,796,329 "
1969,The Love Bug,"$50,582,265 "
1969,On Her Majesty's Secret Service,"$82,000,000 "
1969,Butch Cassidy and the Sundance Kid,"$102,311,313 "
1970,Beneath the Planet of the Apes,"$17,489,009 "
1970,Ann och Eve - de Erotiska,"$18,000,000 "
1970,Five Easy Pieces,"$18,099,091 "
1970,The Boatniks,"$18,607,492 "
1970,Joe,"$19,319,254 "
1970,The Owl and the Pussycat,"$23,681,338 "
1970,Catch-22,"$24,911,670 "
1970,Tora! Tora! Tora!,"$29,548,291 "
1970,Ryan's Daughter,"$30,846,716 "
1970,Little Big Man,"$31,559,552 "
1970,Woodstock,"$34,699,266 "
1970,The Aristocats,"$55,675,526 "
1970,Patton,"$62,500,000 "
1970,M*A*S*H,"$81,600,000 "
1970,Airport,"$100,489,150 "
1970,Love Story,"$136,397,186 "
1971,The Hospital,"$14,142,409 "
1971,Willard,"$14,545,941 "
1971,Sweet Sweetback's Baad Asssss Song,"$15,200,000 "
1971,Bedknobs and Broomsticks,"$17,871,174 "
1971,The Last Picture Show,"$20,506,260 "
1971,Dirty Harry,"$28,153,434 "
1971,A Clockwork Orange,"$28,478,758 "
1971,Carnal Knowledge,"$28,631,053 "
1971,Summer of '42,"$32,063,634 "
1971,The French Connection,"$41,159,421 "
1971,Fiddler on the Roof,"$80,501,127 "
1971,Billy Jack,"$98,000,000 "
1971,Diamonds Are Forever,"$115,999,985 "
1972,Pete 'n' Tillie,"$14,999,969 "
1972,The Life and Times of Judge Roy Bean,"$16,530,578 "
1972,Sounder,"$16,889,761 "
1972,The Valachi Papers,"$17,106,087 "
1972,Everything You Always Wanted to Know,"$18,016,290 "
1972,Lady Sings the Blues,"$19,726,490 "
1972,Last Tango in Paris,"$36,147,711 "
1972,The Getaway,"$36,734,619 "
1972,Cabaret,"$41,400,858 "
1972,Jeremiah Johnson,"$44,693,786 "
1972,Deep Throat,"$45,000,000 "
1972,Deliverance,"$46,122,355 "
1972,"What's Up, Doc?","$57,142,740 "
1972,The Poseidon Adventure,"$93,300,000 "
1972,The Godfather,"$270,007,394 "
1973,High Plains Drifter,"$15,700,000 "
1973,The Day of the Jackal,"$16,056,255 "
1973,A Touch of Class,"$16,800,000 "
1973,Sleeper,"$18,344,729 "
1973,Enter the Dragon,"$21,485,066 "
1973,The World's Greatest Athlete,"$22,583,370 "
1973,Jesus Christ Superstar,"$24,593,103 "
1973,Serpico,"$27,274,150 "
1973,Paper Moon,"$30,933,991 "
1973,Robin Hood,"$32,056,467 "
1973,Magnum Force,"$44,680,473 "
1973,The Way We Were,"$49,919,870 "
1973,Papillon,"$53,292,989 "
1973,American Graffiti,"$140,000,000 "
1973,The Sting,"$159,616,327 "
1973,Live and Let Die,"$161,800,000 "
1973,The Exorcist,"$428,214,478 "
1974,The Front Page,"$15,000,000 "
1974,Macon County Line,"$18,800,000 "
1974,That's Entertainment,"$19,100,000 "
1974,The Groove Tube,"$20,447,000 "
1974,Death Wish,"$22,000,000 "
1974,Chinatown,"$23,169,837 "
1974,Thunderbolt and Lightfoot,"$25,000,000 "
1974,Erinnerungen an die Zukunft,"$25,900,000 "
1974,The Great Gatsby,"$26,533,200 "
1974,The Texas Chainsaw Massacre,"$26,572,439 "
1974,"Dirty Mary, Crazy Larry","$28,401,735 "
1974,Freebie and the Bean,"$30,000,000 "
1974,Benji,"$31,559,560 "
1974,Herbie Rides Again,"$31,765,098 "
1974,Murder on the Orient Express,"$37,708,137 "
1974,The Longest Yard,"$43,008,075 "
1974,The Life and Times of Grizzly Adams,"$45,411,063 "
1974,Airport 1975,"$47,285,152 "
1974,The Godfather: Part II,"$57,386,230 "
1974,Earthquake,"$79,700,000 "
1974,Young Frankenstein,"$86,300,489 "
1974,The Trial of Billy Jack,"$89,000,000 "
1974,The Man with the Golden Gun,"$97,600,000 "
1974,Blazing Saddles,"$119,500,000 "
1974,Towering Inferno,"$139,700,000 "
1975,The Eiger Sanction,"$14,200,000 "
1975,Breakout,"$16,000,000 "
1975,W.W. and the Dixie Dancekings,"$17,000,000 "
1975,Alice Doesn't Live Here Anymore,"$17,600,000 "
1975,The Great Waldo Pepper,"$20,000,000 "
1975,The Adventure of Sherlock Holmes' Sma,"$20,000,000 "
1975,Love and Death,"$20,123,742 "
1975,Barry Lyndon,"$20,195,843 "
1975,Lucky Lady,"$24,441,725 "
1975,The Hindenburg,"$27,945,225 "
1975,The Adventures of the Wilderness Family,"$28,819,175 "
1975,Rollerball,"$30,000,000 "
1975,The Apple Dumpling Gang,"$31,916,500 "
1975,Tommy,"$34,274,478 "
1975,The Other Side of the Mountain,"$34,673,100 "
1975,Funny Lady,"$40,055,897 "
1975,Three Days of the Condor,"$41,509,797 "
1975,The Return of the Pink Panther,"$41,833,347 "
1975,Dog Day Afternoon,"$46,665,856 "
1975,Shampoo,"$49,407,734 "
1975,One Flew Over the Cuckoo's Nest,"$163,274,115 "
1975,Jaws,"$482,947,378 "
1976,Family Plot,"$13,200,000 "
1976,The Missouri Breaks,"$14,000,000 "
1976,"Mother, Jugs & Speed","$15,000,000 "
1976,The Pom Pom Girls,"$17,900,000 "
1976,Across the Great Divide,"$18,800,000 "
1976,Network,"$23,689,877 "
1976,Logan's Run,"$25,000,000 "
1976,Carrie,"$25,886,736 "
1976,The Outlaw Josey Wales,"$27,000,000 "
1976,Marathon Man,"$28,204,261 "
1976,Taxi Driver,"$28,447,834 "
1976,Murder by Death,"$32,511,047 "
1976,The Pink Panther Strikes Again,"$33,833,201 "
1976,Silent Movie,"$36,145,695 "
1976,The Bad News Bears,"$42,349,782 "
1976,The Enforcer,"$46,200,000 "
1976,The Omen,"$48,577,431 "
1976,All the President¡¯s Men,"$51,048,435 "
1976,Silver Streak,"$51,079,064 "
1976,A Star is Born,"$63,129,898 "
1976,Midway,"$66,420,000 "
1976,King Kong,"$90,614,445 "
1976,To Fly!,"$120,700,000 "
1976,Rocky,"$225,000,000 "
1977,"New York, New York","$13,800,302 "
1977,Orca,"$14,717,854 "
1977,Sinbad and the Eye of the Tiger,"$16,000,000 "
1977,MacArthur,"$16,320,000 "
1977,Looking for Mr. Goodbar,"$16,900,000 "
1977,Which Way Is Up?,"$17,000,000 "
1977,Kingdom of the Spiders,"$17,000,000 "
1977,The Kentucky Fried Movie,"$20,000,000 "
1977,The World's Greatest Lover,"$21,000,000 "
1977,For the Love of Benji,"$22,257,624 "
1977,The Other Side of Midnight,"$24,655,822 "
1977,Exorcist II: The Heretic,"$25,011,000 "
1977,Freaky Friday,"$25,942,000 "
1977,Slap Shot,"$28,000,000 "
1977,Herbie Goes to Monte Carlo,"$28,000,000 "
1977,Airport '77,"$30,000,000 "
1977,High Anxiety,"$31,063,038 "
1977,Heroes,"$33,000,000 "
1977,The Turning Point,"$33,600,000 "
1977,The Gauntlet,"$35,400,000 "
1977,Pete¡¯s Dragon,"$36,000,000 "
1977,Semi-Tough,"$37,187,139 "
1977,Annie Hall,"$38,252,270 "
1977,The Rescuers,"$48,775,599 "
1977,The Deep,"$50,681,884 "
1977,A Bridge Too Far,"$50,800,000 "
1977,"Oh, God!","$51,061,196 "
1977,In Search of Noah's Ark,"$55,700,000 "
1977,The Goodbye Girl,"$83,700,000 "
1977,Smokey and the Bandit,"$126,737,428 "
1977,The Spy Who Loved Me,"$185,400,000 "
1977,Saturday Night Fever,"$282,400,000 "
1977,Close Encounters of the Third Kind,"$340,800,479 "
1977,Star Wars Ep. IV: A New Hope,"$775,398,007 "
1978,The Greek Tycoon,"$14,000,000 "
1978,The Bad News Bears Go To Japan,"$14,000,000 "
1978,The Buddy Holly Story,"$14,363,400 "
1978,Corvette Summer,"$15,500,000 "
1978,The Betsy,"$17,700,000 "
1978,Ice Castles,"$18,000,000 "
1978,Death on the Nile,"$18,007,517 "
1978,Good Guys Wear Black,"$18,300,000 "
1978,Eyes of Laura Mars,"$18,900,000 "
1978,The Boys from Brazil,"$19,000,000 "
1978,F.I.S.T,"$20,388,920 "
1978,The Wiz,"$22,000,000 "
1978,"Same Time, Next Year","$23,000,000 "
1978,Magic,"$23,800,000 "
1978,Beyond and Back,"$23,800,000 "
1978,Damien: Omen II,"$24,000,000 "
1978,An Unmarried Woman,"$24,000,000 "
1978,Invasion of the Body Snatchers,"$24,946,533 "
1978,The Lord of the Rings,"$27,000,000 "
1978,The Cheap Detective,"$28,221,552 "
1978,House Calls,"$29,000,000 "
1978,The End,"$32,334,477 "
1978,Coming Home,"$32,653,000 "
1978,Midnight Express,"$35,000,134 "
1978,Revenge of the Pink Panther,"$37,337,746 "
1978,Foul Play,"$40,415,179 "
1978,Up in Smoke,"$41,590,893 "
1978,California Suite,"$42,913,571 "
1978,Convoy,"$45,000,000 "
1978,The Deer Hunter,"$50,065,119 "
1978,Hooper,"$51,290,536 "
1978,Halloween,"$70,274,000 "
1978,Heaven Can Wait,"$98,800,000 "
1978,Every Which Way but Loose,"$104,268,727 "
1978,National Lampoon's Animal House,"$141,600,000 "
1978,Jaws 2,"$208,900,376 "
1978,Superman,"$300,200,000 "
1978,Grease,"$387,472,317 "
1979,Time After Time,"$13,000,000 "
1979,The Concorde: Airport '79,"$13,000,000 "
1979,Hair,"$13,100,000 "
1979,The Seduction of Joe Tynan,"$19,000,000 "
1979,North Dallas Forty,"$19,010,710 "
1979,Breaking Away,"$20,000,000 "
1979,A Force of One,"$20,200,000 "
1979,Life of Brian,"$20,522,496 "
1979,Dracula,"$21,000,000 "
1979,The Bermuda Triangle,"$22,200,000 "
1979,Norma Rae,"$22,228,000 "
1979,The Warriors,"$22,490,943 "
1979,Prophecy,"$22,673,340 "
1979,The Wanderers,"$23,017,811 "
1979,The Rose,"$29,200,000 "
1979,Going in Style,"$29,900,000 "
1979,Chapter Two,"$30,000,000 "
1979,Being There,"$30,177,511 "
1979,The Champ,"$30,441,738 "
1979,And Justice For All,"$33,300,000 "
1979,The China Syndrome,"$35,708,042 "
1979,The Black Hole,"$35,841,901 "
1979,The Main Event,"$37,198,813 "
1979,The Black Stallion,"$37,799,643 "
1979,All That Jazz,"$37,823,676 "
1979,The In-Laws,"$38,200,000 "
1979,Starting Over,"$38,200,000 "
1979,Manhattan,"$40,053,595 "
1979,The Electric Horseman,"$42,670,138 "
1979,Meatballs,"$43,000,000 "
1979,Escape from Alcatraz,"$43,000,000 "
1979,Love at First Bite,"$43,900,000 "
1979,10,"$52,134,699 "
1979,Dawn of the Dead,"$55,000,000 "
1979,The Jerk,"$73,691,419 "
1979,The Muppet Movie,"$76,657,000 "
1979,Apocalypse Now,"$85,965,391 "
1979,The Amityville Horror,"$86,432,520 "
1979,1941,"$94,875,000 "
1979,Mad Max,"$99,750,000 "
1979,Kramer vs. Kramer,"$106,260,000 "
1979,Star Trek: The Motion Picture,"$139,000,000 "
1979,Alien,"$184,638,105 "
1979,Rocky 2,"$200,182,160 "
1979,Moonraker,"$210,300,000 "
1980,The Competition,"$13,000,000 "
1980,Hopscotch,"$13,000,000 "
1980,Middle Age Crazy,"$13,000,000 "
1980,Wholly Moses!,"$14,155,617 "
1980,"Oh, God! Book II","$14,504,277 "
1980,The Nude Bomb,"$14,662,035 "
1980,Prom Night,"$14,796,236 "
1980,The Long Riders,"$15,198,912 "
1980,First Family,"$15,198,912 "
1980,The Island,"$15,716,828 "
1980,Hero At Large,"$15,934,737 "
1980,A Change of Seasons,"$16,400,000 "
1980,The Hunter,"$16,647,800 "
1980,Rough Cut,"$16,656,125 "
1980,Herbie Goes Bananas,"$17,000,000 "
1980,Honeysuckle Rose,"$17,815,212 "
1980,Hardly Working,"$18,000,000 "
1980,Windwalker,"$18,000,000 "
1980,The Octagon,"$19,000,000 "
1980,Cruising,"$19,784,223 "
1980,Altered States,"$19,853,892 "
1980,Tess,"$20,093,330 "
1980,Fame,"$21,202,829 "
1980,The Fog,"$21,445,868 "
1980,In Search of Historic Jesus,"$22,000,000 "
1980,My Bodyguard,"$22,482,952 "
1980,Xanadu,"$22,762,611 "
1980,Seems Like Old Times,"$23,200,000 "
1980,Raging Bull,"$23,380,513 "
1980,Caligula,"$23,400,000 "
1980,Bronco Billy,"$24,265,659 "
1980,The Elephant Man,"$26,024,614 "
1980,Flash Gordon,"$27,176,976 "
1980,Dressed to Kill,"$31,899,000 "
1980,Little Darlings,"$34,326,249 "
1980,Brubaker,"$37,121,708 "
1980,Caddyshack,"$39,849,764 "
1980,Cheech & Chong's Next Movie,"$41,675,194 "
1980,The Shining,"$45,613,093 "
1980,Urban Cowboy,"$46,918,287 "
1980,The Blue Lagoon,"$47,923,795 "
1980,Popeye,"$49,823,037 "
1980,Ordinary People,"$52,302,978 "
1980,American Gigolo,"$52,743,674 "
1980,The Final Countdown,"$56,647,800 "
1980,The Blues Brothers,"$57,245,093 "
1980,Friday the 13th,"$59,754,601 "
1980,Smokey and the Bandit II,"$66,132,626 "
1980,Coal Miner¡¯s Daughter,"$67,182,787 "
1980,Private Benjamin,"$69,847,348 "
1980,Any Which Way You Can,"$70,687,344 "
1980,Airplane!,"$83,453,539 "
1980,Stir Crazy,"$101,300,000 "
1980,Nine to Five,"$103,300,690 "
1980,Star Wars Ep. V: The Empire Strikes Back,"$549,001,086 "
1981,On the Right Track,"$13,000,000 "
1981,Rich and Famous,"$13,000,000 "
1981,The Legend of the Lone Ranger,"$13,400,000 "
1981,Blow Out,"$13,747,988 "
1981,The Night the Lights Went Out in Georgia,"$14,000,000 "
1981,Scanners,"$14,200,000 "
1981,S.O.B.,"$14,867,086 "
1981,Continental Divide,"$15,578,000 "
1981,Caveman,"$15,965,000 "
1981,The Devil and Max Devlin,"$16,000,000 "
1981,Ghost Story,"$16,202,210 "
1981,Ragtime,"$17,468,158 "
1981,Take This Job and Shove It,"$17,569,000 "
1981,Eye of the Needle,"$17,583,000 "
1981,The Howling,"$17,985,130 "
1981,The Private Eyes,"$18,000,000 "
1981,Private Lessons,"$18,066,774 "
1981,Under the Rainbow,"$18,826,490 "
1981,Paternity,"$18,838,000 "
1981,Heavy Metal,"$19,571,091 "
1981,Nighthawks,"$19,600,000 "
1981,Outland,"$20,000,000 "
1981,The Incredible Shrinking Woman,"$20,259,000 "
1981,The Final Conflict,"$20,471,000 "
1981,Friday the 13th Part 2,"$21,722,776 "
1981,The French Lieutenant's Woman,"$22,600,000 "
1981,Graduation Day,"$23,894,000 "
1981,Body Heat,"$24,058,000 "
1981,Modern Problems,"$24,474,312 "
1981,Mad Max 2: The Road Warrior,"$24,601,332 "
1981,Mommie Dearest,"$25,032,000 "
1981,Escape from New York,"$25,275,289 "
1981,Halloween II,"$25,533,818 "
1981,Only When I Laugh,"$25,782,304 "
1981,The Jazz Singer,"$27,118,000 "
1981,Victory,"$27,453,000 "
1981,Neighbors,"$29,916,207 "
1981,The Great Muppet Caper,"$31,206,251 "
1981,Bustin' Loose,"$31,261,000 "
1981,History of the World: Part I,"$31,672,000 "
1981,Sharky's Machine,"$32,984,898 "
1981,Endless Love,"$33,000,000 "
1981,Absence of Malice,"$33,312,129 "
1981,Excalibur,"$34,200,000 "
1981,Taps,"$35,856,053 "
1981,"Tarzan, The Ape Man","$36,565,000 "
1981,Cheech & Chong's Nice Dreams,"$37,000,000 "
1981,Time Bandits,"$37,400,000 "
1981,The Four Seasons,"$42,488,161 "
1981,The Fox and the Hound,"$43,899,231 "
1981,The Postman Always Rings Twice,"$44,200,000 "
1981,Clash of the Titans,"$44,400,000 "
1981,Reds,"$50,000,130 "
1981,The Cannonball Run,"$57,498,710 "
1981,Chariots of Fire,"$61,910,507 "
1981,An American Werewolf in London,"$61,968,388 "
1981,"Fort Apache, The Bronx","$65,200,000 "
1981,Arthur,"$81,464,486 "
1981,Stripes,"$85,300,000 "
1981,On Golden Pond,"$119,285,432 "
1981,Superman II,"$190,400,000 "
1981,For Your Eyes Only,"$195,300,000 "
1981,Raiders of the Lost Ark,"$367,451,914 "
1982,They Call Me Bruce,"$12,925,437 "
1982,The Incubus,"$13,110,874 "
1982,Author! Author!,"$13,111,101 "
1982,The Thing,"$13,841,714 "
1982,Grease 2,"$14,297,083 "
1982,Halloween 3: Season of the Witch,"$14,400,000 "
1982,Pink Floyd: The Wall,"$14,850,958 "
1982,Zapped!,"$15,026,217 "
1982,Kiss Me Goodbye,"$15,782,759 "
1982,Missing,"$16,000,000 "
1982,Death Wish II,"$16,100,000 "
1982,National Lampoon's Class Reunion,"$16,550,727 "
1982,My Favorite Year,"$17,458,105 "
1982,Dead Men Don't Wear Plaid,"$18,196,170 "
1982,Deathtrap,"$19,282,000 "
1982,Creepshow,"$20,036,244 "
1982,Six Pack,"$20,225,989 "
1982,Some Kind of Hero,"$20,400,486 "
1982,The Beach Girls,"$20,418,789 "
1982,The Man From Snowy River,"$20,659,423 "
1982,La Guerre du feu,"$20,959,585 "
1982,Cat People,"$21,000,000 "
1982,Night Shift,"$21,017,056 "
1982,Things Are Tough All Over,"$21,134,374 "
1982,Victor/Victoria,"$22,524,614 "
1982,Airplane II: The Sequel,"$25,009,494 "
1982,Sophie's Choice,"$25,215,709 "
1982,Tron,"$26,919,100 "
1982,Fast Times at Ridgemont High,"$27,093,116 "
1982,The World According to Garp,"$30,207,324 "
1982,Young Doctors in Love,"$30,688,860 "
1982,Richard Pryor Live on the Sunset Strip,"$34,970,309 "
1982,Best Friends,"$36,670,556 "
1982,Friday the 13th Part 3,"$36,690,067 "
1982,The Sword and the Sorcerer,"$36,714,025 "
1982,Blade Runner,"$39,538,663 "
1982,The Dark Crystal,"$40,577,915 "
1982,Firefox,"$45,785,720 "
1982,The Toy,"$47,118,057 "
1982,The Verdict,"$53,977,250 "
1982,Annie,"$57,063,987 "
1982,The Best Little Whorehouse in Texas,"$69,701,637 "
1982,48 Hrs.,"$75,936,265 "
1982,Conan the Barbarian,"$79,114,085 "
1982,Das Boot,"$84,970,337 "
1982,Star Trek II: The Wrath of Khan,"$95,800,000 "
1982,Porky's,"$109,492,484 "
1982,Poltergeist,"$121,706,019 "
1982,Rocky III,"$125,053,490 "
1982,First Blood,"$125,212,904 "
1982,Gandhi,"$127,767,889 "
1982,An Officer and a Gentleman,"$129,795,554 "
1982,Tootsie,"$177,200,262 "
1982,E.T. the Extra-Terrestrial,797103542.00 
1983,Stroker Ace,"$13,000,000 "
1983,To Be or Not to Be,"$13,030,214 "
1983,The Entity,"$13,277,558 "
1983,The Survivors,"$14,000,000 "
1983,Private School,"$14,049,540 "
1983,Educating Rita,"$14,688,000 "
1983,Monty Python's The Meaning of Life,"$14,929,552 "
1983,Still Smokin,"$15,543,000 "
1983,Gorky Park,"$15,900,000 "
1983,D.C. Cab,"$16,134,000 "
1983,Richard Pryor Here and Now,"$16,156,776 "
1983,Spacehunter: Adventures in the Forbidÿ,"$16,478,265 "
1983,Krull,"$16,519,460 "
1983,Valley Girl,"$16,800,000 "
1983,All the Right Moves,"$17,200,000 "
1983,Max Dugan Returns,"$17,613,720 "
1983,Breathless,"$19,910,002 "
1983,A Christmas Story,"$20,640,209 "
1983,The Dead Zone,"$20,766,000 "
1983,Cujo,"$21,156,152 "
1983,Christine,"$21,204,305 "
1983,The Right Stuff,"$21,500,213 "
1983,Class,"$21,667,789 "
1983,My Tutor,"$22,587,000 "
1983,Two of a Kind,"$23,700,000 "
1983,Spring Break,"$24,071,666 "
1983,The Outsiders,"$25,707,698 "
1983,Never Cry Wolf,"$27,668,764 "
1983,Uncommon Valor,"$27,900,000 "
1983,High Road to China,"$28,416,459 "
1983,Easy Money,"$29,309,766 "
1983,The Evil Dead,"$29,400,000 "
1983,Twilight Zone: The Movie,"$29,500,000 "
1983,Psycho II,"$32,000,000 "
1983,Porky's II: The Next Day,"$33,759,266 "
1983,Silkwood,"$35,615,609 "
1983,Yentl,"$39,012,241 "
1983,Jaws 3-D,"$42,245,180 "
1983,Blue Thunder,"$42,313,354 "
1983,Scarface,"$44,942,821 "
1983,The Big Chill,"$56,077,501 "
1983,National Lampoon¡¯s Vacation,"$61,400,000 "
1983,Risky Business,"$63,541,777 "
1983,Mr. Mom,"$64,800,000 "
